Country,Games,Gold,Silver,Bronze,Total
 China ,11,1342,901,655,2898
 Japan ,17,957,982,912,2851
 South Korea ,16,696,605,757,2058
 India ,17,139,177,286,602
 Thailand ,17,121,159,233,513
 Iran ,14,159,161,175,495
 Kazakhstan ,6,140,141,200,481
 Chinese Taipei ,11,82,125,245,452
 North Korea ,9,98,131,165,394
 Philippines ,17,63,112,215,390
 Indonesia ,17,60,95,203,358
 Malaysia ,16,56,88,132,276
 Uzbekistan ,6,63,96,115,274
 Pakistan ,16,44,63,93,200
 Singapore ,17,37,55,102,194
 Hong Kong ,16,30,65,92,187
 Vietnam ,14,13,55,74,142
 Mongolia ,10,20,37,80,137
 Qatar ,10,37,27,43,107
 Myanmar ,16,16,31,53,100
 Kuwait ,11,23,29,33,85
 Bahrain ,11,25,17,16,58
 Saudi Arabia ,9,24,11,20,55
 Israel ,5,18,16,19,53
 Kyrgyzstan ,6,2,18,26,46
 Sri Lanka ,17,11,11,24,46
 Iraq ,7,6,15,23,44
 Jordan ,7,3,15,15,33
 Syria ,9,9,8,14,31
 Macau ,7,1,9,18,28
 UnitedArabEmirates ,10,4,11,12,27
 Nepal ,15,0,1,22,23
 Tajikistan ,6,4,3,14,21
 Turkmenistan ,6,3,7,10,20
 Lebanon ,10,4,4,6,14
 Bangladesh ,10,1,5,6,12
 Afghanistan ,13,0,5,6,11
 Laos ,9,0,2,8,10
 Cambodia ,11,1,2,4,7
 Brunei ,7,0,0,4,4
 Oman ,9,1,0,3,4
 Yemen ,7,0,0,2,2
 Palestine ,7,0,0,1,1
